pass,codec,tok_s,wall_s,tokens,rc,activated,fallback,kv_line,ids_head
1,f32,15.13,161.66,64,0,1,0, ,[270; 201; 80; 23503; 18560; 14; 270; 6341; 14; 305; 270; 24386; 16; 455; 1257;  
1,fp8,14.40,117.57,64,0,1,0,fp8 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 8589; 14; 270; 22938; 23795; 305; 270; 16567; 16; 455; 16567; 344; 270; 14 
1,fp16,15.41,116.24,64,0,1,0,fp16 KV cache on (0.02 GiB -> 0.01 GiB over 43 layers) ,[270; 8589; 14; 270; 22938; 23795; 305; 270; 9356; 2142; 16; 455; 8589; 515; 380 
1,int8,14.89,113.84,64,0,1,0,int8 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 8589; 14; 270; 22938; 23795; 14; 305; 270; 201; 27797; 13093; 16; 455; 165 
1,q8_0,14.01,113.25,64,0,1,0,q8_0 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 201; 39936; 14; 270; 47931; 27358; 24506; 14; 305; 270; 20746; 3333; 603;  
1,q4_0,15.35,110.27,64,0,1,0,q4_0 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 201; 35115; 19743; 14; 270; 6341; 14; 305; 270; 16570; 294; 8661; 16; 455; 
1,turbo8,3.97,124.11,64,0,1,0,turbo8 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 8589; 14; 270; 22938; 23795; 305; 270; 9356; 12639; 1478; 16; 455; 8589; 5 
1,turbo4,3.95,124.47,64,0,1,0,turbo4 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 8589; 14; 270; 6341; 14; 305; 270; 7960; 3194; 16; 455; 8589; 14; 1754; 43 
1,turbo3,2.92,130.77,64,0,1,0,turbo3 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 12955; 80; 23503; 23795; 11621; 85; 14; 12955; 80; 23503; 2333; 43383; 305 
1,turbo2,3.06,132.07,64,0,1,0,turbo2 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 201; 361; 4588; 343; 19; 11; 270; 6341; 14; 343; 20; 11; 270; 9898; 14; 30 
1,turbo3_tcq,1.85,146.26,64,0,1,0,turbo3_tcq KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 201; 35115; 19743; 14; 270; 6341; 14; 305; 270; 10504; 294; 270; 582; 2086 
1,turbo2_tcq,2.10,142.39,64,0,1,0,turbo2_tcq KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 6341; 14; 270; 55380; 14; 305; 270; 41339; 16; 455; 6341; 769; 7956; 270;  
1,turbo1_tcq,2.01,143.72,64,0,1,0,turbo1_tcq KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 22938; 19743; 14; 270; 35753; 14; 305; 270; 4605; 91520; 16; 455; 22938; 1 
2,f32,14.40,112.26,64,0,1,0, ,[270; 8589; 14; 270; 37141; 6683; 14; 305; 270; 22938; 19743; 16; 2136; 39218; 3 
2,fp8,14.13,112.06,64,0,1,0,fp8 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 8589; 14; 270; 22938; 23795; 14; 305; 270; 16567; 16; 983; 344; 13606; 304 
2,fp16,14.07,112.12,64,0,1,0,fp16 KV cache on (0.02 GiB -> 0.01 GiB over 43 layers) ,[270; 8589; 14; 270; 37141; 6683; 14; 305; 270; 22938; 19743; 16; 2136; 39218; 3 
2,int8,14.98,111.89,64,0,1,0,int8 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 201; 80; 23503; 18560; 14; 270; 6341; 14; 305; 270; 8661; 16; 455; 12613;  
2,q8_0,14.20,113.18,64,0,1,0,q8_0 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 8589; 14; 270; 37141; 6683; 14; 305; 270; 22938; 19743; 16; 2136; 343; 231 
2,q4_0,14.05,113.94,64,0,1,0,q4_0 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 201; 39936; 14; 270; 47931; 27358; 14; 305; 270; 13176; 2565; 603; 965; 52 
2,turbo8,3.98,127.02,64,0,1,0,turbo8 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 8589; 14; 270; 22938; 23795; 14; 305; 270; 16567; 16; 983; 344; 13606; 304 
2,turbo4,3.83,128.09,64,0,1,0,turbo4 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 201; 39936; 2195; 35258; 2305; 14; 8478; 5643; 14; 305; 2619; 3603; 5639;  
2,turbo3,3.04,133.74,64,0,1,0,turbo3 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 8589; 14; 270; 22938; 19743; 14; 305; 270; 2883; 7960; 3194; 16; 455; 1257 
2,turbo2,3.06,133.79,64,0,1,0,turbo2 KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 12613; 19743; 14; 270; 6341; 14; 305; 270; 2339; 294; 18445; 16; 2136; 388 
2,turbo3_tcq,1.86,148.67,64,0,1,0,turbo3_tcq KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 8589; 14; 270; 22938; 201; 971; 25185; 14; 305; 270; 2883; 8183; 16; 455;  
2,turbo2_tcq,2.10,143.88,64,0,1,0,turbo2_tcq KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 6341; 14; 270; 55380; 14; 305; 270; 22938; 19743; 16; 455; 6341; 305; 270; 
2,turbo1_tcq,2.02,144.74,64,0,1,0,turbo1_tcq KV cache on (0.02 GiB -> 0.00 GiB over 43 layers) ,[270; 6341; 14; 270; 11781; 305; 270; 67946; 16; 455; 6341; 305; 270; 11781; 795 
