codec,n,top1_pct,mean_dlogit,max_dlogit,jaccard
f32xf32,114,100.00,0.000000,0.000000,1.0000
fp8,114,93.86,0.271953,1.618145,0.9000
fp16,114,100.00,0.000000,0.000000,1.0000
int8,114,93.86,0.237030,1.329349,0.9070
q8_0,114,92.11,0.260954,2.260536,0.8754
q4_0,114,91.23,0.423908,3.561644,0.8456
turbo8,114,92.11,0.256187,1.075157,0.9000
turbo4,114,86.84,0.310896,2.532548,0.8456
turbo3,114,88.60,0.516362,2.849422,0.7860
turbo2,114,75.44,0.892277,5.024478,0.6491
turbo3_tcq,114,85.96,0.491325,2.068353,0.8246
turbo2_tcq,114,74.56,0.787432,2.329792,0.7491
turbo1_tcq,114,73.68,1.180930,7.615883,0.5737
