pass,codec,tok_s,wall_s,tokens,rc,activated,fallback,kv_line,ids_head
1,f32,36.54,38.32,64,0,1,0, ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 2191; 80078; 5599; 34 
1,fp8,31.95,30.10,64,0,1,0,fp8 KV cache on (0.19 GiB -> 0.05 GiB over 48 layers) ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 524; 48270; 377; 340; 
1,fp16,37.59,29.44,64,0,1,0,fp16 KV cache on (0.19 GiB -> 0.09 GiB over 48 layers) ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 524; 36431; 784; 1253 
1,int8,36.41,29.43,64,0,1,0,int8 KV cache on (0.19 GiB -> 0.05 GiB over 48 layers) ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 524; 36431; 784; 1253 
1,q8_0,35.20,29.50,64,0,1,0,q8_0 KV cache on (0.19 GiB -> 0.05 GiB over 48 layers) ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 524; 36431; 784; 1253 
1,q4_0,35.37,29.59,64,0,1,0,q4_0 KV cache on (0.19 GiB -> 0.03 GiB over 48 layers) ,[340; 36431; 81; 340; 3905; 81; 372; 340; 7780; 83; 2191; 80078; 675; 41369; 508 
1,turbo8,33.51,29.68,64,0,1,0,turbo8 KV cache on (0.19 GiB -> 0.05 GiB over 48 layers) ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 7780; 83; 524; 36431; 784; 38543 
1,turbo4,32.98,29.76,64,0,1,0,turbo4 KV cache on (0.19 GiB -> 0.03 GiB over 48 layers) ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 524; 36431; 784; 1253 
1,turbo3,36.63,29.65,64,0,0,1, ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 2191; 80078; 5599; 34 
1,turbo2,36.59,29.58,64,0,0,1, ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 2191; 80078; 5599; 34 
1,turbo3_tcq,36.44,29.55,64,0,0,1, ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 2191; 80078; 5599; 34 
1,turbo2_tcq,36.35,29.63,64,0,0,1, ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 2191; 80078; 5599; 34 
1,turbo1_tcq,36.41,29.55,64,0,0,1, ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 2191; 80078; 5599; 34 
2,f32,36.40,29.58,64,0,1,0, ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 2191; 80078; 5599; 34 
2,fp8,32.88,29.77,64,0,1,0,fp8 KV cache on (0.19 GiB -> 0.05 GiB over 48 layers) ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 524; 48270; 377; 340; 
2,fp16,37.45,29.67,64,0,1,0,fp16 KV cache on (0.19 GiB -> 0.09 GiB over 48 layers) ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 524; 36431; 784; 1253 
2,int8,36.77,29.60,64,0,1,0,int8 KV cache on (0.19 GiB -> 0.05 GiB over 48 layers) ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 524; 36431; 784; 1253 
2,q8_0,37.67,29.58,64,0,1,0,q8_0 KV cache on (0.19 GiB -> 0.05 GiB over 48 layers) ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 524; 36431; 784; 1253 
2,q4_0,36.00,29.75,64,0,1,0,q4_0 KV cache on (0.19 GiB -> 0.03 GiB over 48 layers) ,[340; 36431; 81; 340; 3905; 81; 372; 340; 7780; 83; 2191; 80078; 675; 41369; 508 
2,turbo8,33.98,29.83,64,0,1,0,turbo8 KV cache on (0.19 GiB -> 0.05 GiB over 48 layers) ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 7780; 83; 524; 36431; 784; 38543 
2,turbo4,31.23,30.00,64,0,1,0,turbo4 KV cache on (0.19 GiB -> 0.03 GiB over 48 layers) ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 524; 36431; 784; 1253 
2,turbo3,37.27,29.81,64,0,0,1, ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 2191; 80078; 5599; 34 
2,turbo2,36.78,29.74,64,0,0,1, ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 2191; 80078; 5599; 34 
2,turbo3_tcq,37.30,29.78,64,0,0,1, ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 2191; 80078; 5599; 34 
2,turbo2_tcq,37.46,29.75,64,0,0,1, ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 2191; 80078; 5599; 34 
2,turbo1_tcq,37.30,29.79,64,0,0,1, ,[340; 36431; 81; 340; 7040; 7986; 81; 372; 340; 87315; 83; 2191; 80078; 5599; 34 
