codec,n,top1_pct,mean_dlogit,max_dlogit,jaccard
f32xf32,114,100.00,0.000000,0.000000,1.0000
fp8,114,93.86,0.274197,2.054714,0.8982
fp16,114,90.35,0.310511,2.084267,0.9123
int8,114,92.11,0.345974,2.497751,0.9000
q8_0,114,89.47,0.396320,5.057656,0.8912
q4_0,114,86.84,0.521356,3.661868,0.8368
turbo8,114,92.98,0.299957,1.496817,0.9105
turbo4,114,92.98,0.541910,2.643495,0.8421
turbo3,114,100.00,0.000000,0.000000,1.0000
turbo2,114,100.00,0.000000,0.000000,1.0000
turbo3_tcq,114,100.00,0.000000,0.000000,1.0000
turbo2_tcq,114,100.00,0.000000,0.000000,1.0000
turbo1_tcq,114,100.00,0.000000,0.000000,1.0000
